app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_original,steam_deck,real,tags
490490,Blasters of the Universe,2017-08-31,TRUE,FALSE,FALSE,Very Positive,86,184,14.99,TRUE,,"['VR', 'Bullet Hell', 'FPS', 'Retro', 'Arcade', 'Gun Customization', 'Singleplayer', 'Difficult', 'Funny', 'Space', 'Shooter', 'Action', 'Colorful', 'First-Person', 'Comedy', ""Shoot 'Em Up"", 'Sci-fi', 'Early Access', 'Illuminati']"
1067720,Hellsinker.,2019-07-19,TRUE,FALSE,FALSE,Very Positive,88,169,9.99,TRUE,1,"[""Shoot 'Em Up"", 'Lore-Rich', 'Fantasy', 'Indie', 'Action', 'Casual', 'Bullet Hell', 'Arcade', '2D', 'Anime', 'Singleplayer', 'Pixel Graphics', 'Female Protagonist', 'Cute', 'Difficult', 'Retro', 'Shooter', 'Replay Value', 'Score Attack', 'Philosophical']"
1872680,The Knight Witch,2022-11-29,TRUE,FALSE,FALSE,Mostly Positive,73,190,19.99,TRUE,0,"['Metroidvania', ""Shoot 'Em Up"", 'Female Protagonist', 'Card Battler', 'Atmospheric', 'Story Rich', 'Exploration', 'Bullet Hell', 'Choices Matter', 'Adventure', 'Twin Stick Shooter', 'Action', 'Action-Adventure', 'Multiple Endings', 'Deckbuilding', '2D', 'Hand-drawn', 'Conversation', 'Cute', 'Funny']"
654100,Rival Megagun,2018-11-29,TRUE,FALSE,FALSE,Positive,89,49,14.99,TRUE,1,"[""Shoot 'Em Up"", 'Bullet Hell', 'Multiplayer', 'Sci-fi', 'Indie', 'Competitive', 'Replay Value', 'Split Screen', 'Arcade', 'Action', 'Retro', '1980s', 'Roguelite', 'Pixel Graphics', 'Space', '2D', 'Local Multiplayer', 'Singleplayer', 'Shooter', 'PvP']"
908990,Steel Vampire,2018-11-16,TRUE,FALSE,FALSE,Positive,97,49,9.99,TRUE,1,"['Action', 'Indie', 'Casual', ""Shoot 'Em Up"", 'Bullet Hell', 'Arcade', '2D', 'Singleplayer', 'Pixel Graphics', 'Anime', 'Great Soundtrack']"
924650,Hifuu Nightmare Diary ~ Violet Detector.,2018-09-04,TRUE,FALSE,FALSE,Mostly Positive,76,252,10.99,TRUE,1,"['Indie', 'Action', 'Bullet Hell', 'Great Soundtrack', 'Faith', ""Shoot 'Em Up"", 'Female Protagonist', 'Difficult', 'Singleplayer', 'Anime', '2D', 'Arcade', 'Cute', 'Casual']"
1126420,REMOTE LIFE,2019-10-04,TRUE,FALSE,FALSE,Very Positive,91,191,18.99,TRUE,0,"[""Shoot 'Em Up"", 'Bullet Hell', 'Indie', 'Action', 'Space', 'Horror', 'Shooter', 'Arcade', '2D', 'Aliens', 'Retro', '2D Fighter', 'Side Scroller', 'Dungeon Crawler', 'Sci-fi', 'Singleplayer', 'Steam Machine', 'Online Co-Op']"
336060,Raptor: Call of The Shadows - 2015 Edition,2015-02-13,TRUE,FALSE,FALSE,Mostly Positive,77,364,4.99,TRUE,1,"['Bullet Hell', ""Shoot 'Em Up"", 'Flight', 'Difficult', 'Shooter', '2D', 'Top-Down', 'Mechs', 'Vehicular Combat', 'Action', 'Pixel Graphics', 'Jet', 'Sci-fi', 'Casual', 'War', ""1990's"", 'Old School', 'Retro', 'Singleplayer', 'Cult Classic']"
551450,Furious Angels,2017-02-27,TRUE,TRUE,FALSE,Very Positive,87,321,4.99,TRUE,0,"['Bullet Hell', ""Shoot 'Em Up"", 'Destruction', 'Top-Down Shooter', 'Score Attack', 'Retro', 'Arcade', 'Flight', 'Jet', 'Tanks', 'Mechs', '2.5D', 'Colorful', 'Minimalist', 'Survival', 'Replay Value', 'Difficult', 'Twin Stick Shooter', 'Action', 'Singleplayer']"
789740,Maidens of a Hollow Dream,2018-03-30,TRUE,FALSE,FALSE,Positive,85,41,9.99,TRUE,1,"['Action', 'Casual', 'Indie', 'Bullet Hell', 'Sexual Content', 'Anime', 'Female Protagonist', ""Shoot 'Em Up"", 'Arcade', '2D', 'Singleplayer', 'Cute', 'Great Soundtrack', 'Pixel Graphics', 'Fantasy', 'Nudity', 'LGBTQ+']"
